date,id,home_team,away_team,home_score,away_score,tournament,city,country,neutral,goals,victory,defeat,egality
1928-04-15,,Switzerland,Germany,2,3,Friendly,Berne,Switzerland,FALSE,278,0,0,0
1928-05-06,,Switzerland,Netherlands,2,1,Friendly,Basel,Switzerland,FALSE,281,0,0,0
1928-08-17,,Belarus,Switzerland,6,3,Friendly,Moscow,Soviet Union,TRUE,290,0,0,0
1928-10-14,,Switzerland,Italy,2,3,International Cup,Zürich,Switzerland,FALSE,295,0,0,0
1928-10-28,,Austria,Switzerland,2,0,International Cup,Vienna,Austria,FALSE,297,0,0,0
1928-11-01,,Hungary,Switzerland,3,1,International Cup,Budapest,Hungary,FALSE,301,0,0,0
1929-02-10,,Germany,Switzerland,7,1,Friendly,Mannheim,Germany,FALSE,309,0,0,0
1929-03-17,,Netherlands,Switzerland,3,2,Friendly,Amsterdam,Netherlands,FALSE,314,0,0,0
1929-04-14,,Switzerland,Hungary,4,5,International Cup,Berne,Switzerland,FALSE,323,0,0,0
1929-05-05,,Switzerland,Czechoslovakia,1,4,International Cup,Lausanne,Switzerland,FALSE,328,0,0,0
1929-10-06,,Czechoslovakia,Switzerland,5,0,International Cup,Prague,Czechoslovakia,FALSE,333,0,0,0
1929-10-27,,Switzerland,Austria,1,3,International Cup,Berne,Switzerland,FALSE,337,0,0,0
1930-02-09,,Italy,Switzerland,4,2,Friendly,Rome,Italy,FALSE,343,0,0,0
1930-03-23,,France,Switzerland,3,3,Friendly,Colombes,France,FALSE,349,0,0,0
1930-04-13,,Switzerland,Hungary,2,2,Friendly,Basel,Switzerland,FALSE,353,0,0,0
1930-05-04,,Switzerland,Germany,0,5,Friendly,Zürich,Switzerland,FALSE,358,0,0,0
1930-06-15,,Sweden,Switzerland,1,0,Friendly,Stockholm,Sweden,FALSE,359,0,0,0
1930-06-19,,Norway,Switzerland,3,0,Friendly,Oslo,Norway,FALSE,362,0,0,0
1930-11-02,,Switzerland,Netherlands,6,3,Friendly,Zürich,Switzerland,FALSE,371,0,0,0
1931-03-29,,Switzerland,Italy,1,1,International Cup,Berne,Switzerland,FALSE,373,0,0,0
1931-04-12,,Hungary,Switzerland,6,2,International Cup,Budapest,Hungary,FALSE,381,0,0,0
1931-05-24,,Switzerland,Scotland,2,3,Friendly,Geneva,Switzerland,FALSE,386,0,0,0
1931-06-13,,Czechoslovakia,Switzerland,7,3,International Cup,Prague,Czechoslovakia,FALSE,396,0,0,0
1931-06-16,,Austria,Switzerland,2,0,Friendly,Vienna,Austria,FALSE,398,0,0,0
1931-11-29,,Switzerland,Austria,1,8,International Cup,Basel,Switzerland,FALSE,407,0,0,0
1931-12-06,,Belgium,Switzerland,2,1,Friendly,Brussels,Belgium,FALSE,410,0,0,0
1932-02-14,,Italy,Switzerland,3,0,International Cup,Naples,Italy,FALSE,413,0,0,0
1932-03-06,,Germany,Switzerland,2,0,Friendly,Leipzig,Germany,FALSE,415,0,0,0
1932-03-20,,Switzerland,France,3,3,Friendly,Berne,Switzerland,FALSE,421,0,0,0
1932-04-17,,Switzerland,Czechoslovakia,5,1,International Cup,Zürich,Switzerland,FALSE,427,0,0,0
1932-06-19,,Switzerland,Hungary,3,1,International Cup,Berne,Switzerland,FALSE,431,0,0,0
1932-10-23,,Austria,Switzerland,3,1,International Cup,Vienna,Austria,FALSE,435,0,0,0
1932-11-06,,Switzerland,Sweden,2,1,Friendly,Basel,Switzerland,FALSE,438,0,0,0
1933-01-22,,Netherlands,Switzerland,0,2,Friendly,Amsterdam,Netherlands,FALSE,440,0,0,0
1933-03-12,,Switzerland,Belgium,3,3,Friendly,Zürich,Switzerland,FALSE,446,0,0,0
1933-04-02,,Switzerland,Italy,0,3,International Cup,Geneva,Switzerland,FALSE,449,0,0,0
1933-05-07,,Switzerland,Yugoslavia,4,1,Friendly,Zürich,Switzerland,FALSE,454,0,0,0
1933-05-20,,Switzerland,England,0,4,Friendly,Berne,Switzerland,FALSE,458,0,0,0
1933-09-17,,Hungary,Switzerland,3,0,International Cup,Budapest,Hungary,FALSE,461,0,0,0
1933-09-24,,Yugoslavia,Switzerland,2,2,FIFA World Cup qualification,Belgrade,Yugoslavia,FALSE,465,0,0,0
1933-10-29,,Switzerland,Romania,2,2,FIFA World Cup qualification,Berne,Switzerland,FALSE,469,0,0,0
1933-11-19,,Switzerland,Germany,0,2,Friendly,Zürich,Switzerland,FALSE,471,0,0,0
1933-12-03,,Italy,Switzerland,5,2,International Cup,Florence,Italy,FALSE,478,0,0,0
1934-03-11,,France,Switzerland,0,1,Friendly,Paris,France,FALSE,479,0,0,0
1934-03-25,,Switzerland,Austria,2,3,International Cup,Geneva,Switzerland,FALSE,484,0,0,0
1934-05-27,,Netherlands,Switzerland,2,3,FIFA World Cup,Milan,Italy,TRUE,489,0,0,0
1934-05-31,,Czechoslovakia,Switzerland,3,2,FIFA World Cup,Turin,Italy,TRUE,494,0,0,0
1934-10-14,,Switzerland,Czechoslovakia,2,2,International Cup,Geneva,Switzerland,FALSE,498,0,0,0
1934-11-04,,Switzerland,Netherlands,2,4,Friendly,Berne,Switzerland,FALSE,504,0,0,0
1934-11-11,,Austria,Switzerland,3,0,International Cup,Vienna,Austria,FALSE,507,0,0,0
1935-01-27,,Germany,Switzerland,4,0,Friendly,Stuttgart,Germany,FALSE,511,0,0,0
1935-03-17,,Czechoslovakia,Switzerland,3,1,International Cup,Prague,Czechoslovakia,FALSE,515,0,0,0
1935-04-14,,Switzerland,Hungary,6,2,International Cup,Zürich,Switzerland,FALSE,523,0,0,0
1935-05-05,,Switzerland,Republic of Ireland,1,0,Friendly,Basel,Switzerland,FALSE,524,0,0,0
1935-05-30,,Belgium,Switzerland,2,2,Friendly,Brussels,Belgium,FALSE,528,0,0,0
1935-10-27,,Switzerland,France,2,1,Friendly,Geneva,Switzerland,FALSE,531,0,0,0
1935-11-03,,Switzerland,Norway,2,0,Friendly,Zürich,Switzerland,FALSE,533,0,0,0
1935-11-10,,Hungary,Switzerland,6,1,Friendly,Budapest,Hungary,FALSE,540,0,0,0
1936-03-17,,Republic of Ireland,Switzerland,1,0,Friendly,Dublin,Irish Free State,FALSE,541,0,0,0
1936-04-05,,Switzerland,Italy,1,2,Friendly,Zürich,Switzerland,FALSE,544,0,0,0
1936-05-03,,Switzerland,Spain,0,2,Friendly,Berne,Switzerland,FALSE,546,0,0,0
1936-05-24,,Switzerland,Belgium,1,1,Friendly,Basel,Switzerland,FALSE,548,0,0,0
1936-06-18,,Norway,Switzerland,1,2,Friendly,Oslo,Norway,FALSE,551,0,0,0
1936-06-21,,Sweden,Switzerland,5,2,Friendly,Stockholm,Sweden,FALSE,558,0,0,0
1936-10-25,,Italy,Switzerland,4,2,International Cup,Milan,Italy,FALSE,564,0,0,0
1936-11-08,,Switzerland,Austria,1,3,International Cup,Zürich,Switzerland,FALSE,568,0,0,0
1937-02-21,,Czechoslovakia,Switzerland,5,3,International Cup,Prague,Czechoslovakia,FALSE,576,0,0,0
1937-03-07,,Netherlands,Switzerland,2,1,Friendly,Amsterdam,Netherlands,FALSE,579,0,0,0
1937-04-11,,Switzerland,Hungary,1,5,International Cup,Basel,Switzerland,FALSE,585,0,0,0
1937-04-18,,Belgium,Switzerland,1,2,Friendly,Brussels,Belgium,FALSE,588,0,0,0
1937-05-02,,Switzerland,Germany,0,1,Friendly,Zürich,Switzerland,FALSE,589,0,0,0
1937-05-17,,Switzerland,Republic of Ireland,0,1,Friendly,Berne,Switzerland,FALSE,590,0,0,0
1937-09-19,,Austria,Switzerland,4,3,International Cup,Vienna,Austria,FALSE,597,0,0,0
1937-10-10,,France,Switzerland,2,1,Friendly,Paris,France,FALSE,600,0,0,0
1937-10-31,,Switzerland,Italy,2,2,International Cup,Geneva,Switzerland,FALSE,604,0,0,0
1937-11-14,,Hungary,Switzerland,2,0,International Cup,Budapest,Hungary,FALSE,606,0,0,0
1938-02-06,,Germany,Switzerland,1,1,Friendly,Cologne,Germany,FALSE,608,0,0,0
1938-03-13,,Switzerland,Poland,3,3,Friendly,Zürich,Switzerland,FALSE,614,0,0,0
1938-04-03,,Switzerland,Czechoslovakia,4,0,International Cup,Basel,Switzerland,FALSE,618,0,0,0
1938-05-01,,Switzerland,Portugal,2,1,FIFA World Cup qualification,Milan,Italy,TRUE,621,0,0,0
1938-05-08,,Switzerland,Belgium,0,3,Friendly,Lausanne,Switzerland,FALSE,624,0,0,0
1938-05-21,,Switzerland,England,2,1,Friendly,Zürich,Switzerland,FALSE,627,0,0,0
1938-06-04,,Germany,Switzerland,1,1,FIFA World Cup,Paris,France,TRUE,629,0,0,0
1938-06-09,,Germany,Switzerland,2,4,FIFA World Cup,Paris,France,TRUE,635,0,0,0
1938-06-12,,Hungary,Switzerland,2,0,FIFA World Cup,Lille,France,TRUE,637,0,0,0
1938-09-18,,Republic of Ireland,Switzerland,4,0,Friendly,Dublin,Éire,FALSE,641,0,0,0
1938-11-06,,Switzerland,Portugal,1,0,Friendly,Lausanne,Switzerland,FALSE,642,0,0,0
1938-11-20,,Italy,Switzerland,2,0,Friendly,Bologna,Italy,FALSE,644,0,0,0
1939-02-12,,Portugal,Switzerland,2,4,Friendly,Lisbon,Portugal,FALSE,650,0,0,0
1939-04-02,,Switzerland,Hungary,3,1,Friendly,Zürich,Switzerland,FALSE,654,0,0,0
1939-05-07,,Switzerland,Netherlands,2,1,Friendly,Berne,Switzerland,FALSE,657,0,0,0
